Account,Amount,Counterparty,Tags,Date,Location
Joint Account,860.91,Gojek,Transportation,2022-08-19,Singapore
Savings,697.29,Walmart,"Travel, General Expenses, Groceries, Entertainment, Transportation",2022-08-15,Japan
Joint Account,228.47,Google,"Transportation, General Expenses, Entertainment, Travel, Dining",2022-08-29,Indonesia
Savings,674.25,Gojek,"Dining, Transportation",2022-07-22,Japan
Checking,39.06,Amazon,"Entertainment, Transportation",2022-07-21,Indonesia
Savings,974.19,Gojek,"Dining, Transportation, Entertainment",2022-10-18,Japan
Checking,381.89,Grab,"Transportation, Dining, Entertainment, Travel, Groceries, General Expenses",2022-10-16,Australia
Checking,408.66,ACME,"Entertainment, Travel, Dining, Groceries",2022-07-30,Indonesia
Checking,338.75,ACME,"General Expenses, Groceries, Entertainment, Dining, Transportation, Travel",2022-12-03,Japan
Joint Account,623.06,Grab,"Entertainment, General Expenses, Dining, Groceries, Transportation, Travel",2022-10-23,Indonesia
Joint Account,709.54,Grab,Entertainment,2022-10-10,Japan
Savings,939.46,Gojek,"Transportation, Dining, Groceries, Entertainment, General Expenses, Travel",2022-09-12,Singapore
Savings,14.14,Google,"Travel, Dining, Transportation, Entertainment, General Expenses, Groceries",2022-06-02,Australia
Savings,19.64,Amazon,"Transportation, General Expenses, Dining, Groceries",2022-07-23,Japan
Savings,368.99,Google,"General Expenses, Dining, Transportation",2022-07-02,Singapore
Checking,892.68,ACME,"Entertainment, Groceries",2022-12-12,Indonesia
Joint Account,139.7,Uber,"Groceries, Travel, Transportation, Entertainment, Dining, General Expenses",2022-11-01,Japan
Checking,505.38,Fairprice,"Transportation, Entertainment, Dining, Travel, Groceries",2022-08-29,Singapore
Checking,437.15,Amazon,"Dining, Groceries",2022-11-16,Australia
Checking,270.68,Walmart,"Groceries, Transportation, Travel, Entertainment, Dining",2022-08-27,Indonesia
Joint Account,149.65,Uber,"Groceries, Dining, Travel, Entertainment",2022-09-20,Japan
Checking,948.2,Google,"Dining, Entertainment, Groceries",2022-06-24,Australia
Savings,337.68,Walmart,"Dining, Entertainment",2022-06-22,Japan
Checking,240.33,Amazon,"Entertainment, Transportation, Dining, General Expenses",2022-06-21,Indonesia
Checking,998.44,Gojek,"Groceries, Travel",2022-08-22,Indonesia
Joint Account,236.92,Gojek,"Groceries, General Expenses, Entertainment",2022-06-06,Indonesia
Checking,150.37,Amazon,"Entertainment, Travel, Groceries, Dining",2022-10-21,Singapore
Savings,696.48,Starbucks,"Dining, Transportation, Entertainment, General Expenses",2022-12-02,Australia
Savings,829.99,ACME,"General Expenses, Groceries, Transportation, Dining, Travel",2022-12-11,Indonesia
Checking,444.47,Uber,"Groceries, Entertainment",2022-06-09,Singapore
Joint Account,564.83,Gojek,"Entertainment, Dining, General Expenses",2022-12-15,Singapore
Checking,140.45,Amazon,Groceries,2022-10-07,Japan
Savings,939.2,Gojek,"General Expenses, Transportation, Entertainment",2022-07-02,Indonesia
Checking,404.65,Uber,"Groceries, General Expenses, Transportation",2022-06-05,Australia
Savings,525.08,Gojek,"General Expenses, Groceries, Transportation",2022-09-13,Japan
Joint Account,147.57,Grab,"Entertainment, Groceries, General Expenses, Travel",2022-12-02,Japan
Joint Account,675.01,Walmart,"General Expenses, Transportation, Entertainment",2022-09-23,Australia
Savings,66.62,Uber,"Dining, Entertainment, Groceries, Travel, General Expenses",2022-12-30,Indonesia
Savings,530.85,Starbucks,"Transportation, Travel, Dining, Groceries, General Expenses",2022-09-05,Singapore
Savings,587.09,Walmart,"Groceries, Transportation, Travel, Entertainment",2022-07-10,Indonesia
Joint Account,948.28,Amazon,"Entertainment, Dining, Groceries, General Expenses",2022-08-07,Japan
Savings,95.88,Gojek,"Dining, Groceries, Transportation, Entertainment, General Expenses, Travel",2022-12-18,Japan
Checking,541.63,ACME,"Dining, Transportation, Entertainment, General Expenses",2022-12-10,Singapore
Savings,78.92,Gojek,"Transportation, Dining, General Expenses, Entertainment, Travel, Groceries",2022-06-24,Australia
Savings,323.39,Walmart,"General Expenses, Transportation, Dining, Travel, Entertainment",2022-06-13,Australia
Checking,602.97,Google,"Travel, General Expenses, Groceries, Transportation, Entertainment",2022-08-21,Indonesia
Checking,15.47,Uber,"Dining, Transportation, Travel",2022-10-18,Japan
Savings,686.76,Google,"Groceries, General Expenses, Dining",2022-09-27,Australia
Joint Account,756.74,Fairprice,"Travel, Transportation, Groceries, Dining",2022-11-15,Japan
Joint Account,37.21,Starbucks,"Dining, Travel, Transportation",2022-07-22,Japan
Savings,712.13,Walmart,"Entertainment, General Expenses, Transportation, Travel, Groceries, Dining",2022-11-29,Australia
Savings,884.35,Walmart,"Dining, Groceries, Entertainment, Transportation, Travel, General Expenses",2022-11-07,Australia
Checking,566.42,Walmart,"Travel, Transportation",2022-10-03,Japan
Checking,45.29,Walmart,"Dining, Entertainment, General Expenses, Groceries, Travel",2022-07-04,Japan
Savings,532.95,Gojek,"Groceries, Entertainment, Transportation, General Expenses, Dining",2022-08-30,Australia
Checking,148.95,Gojek,"General Expenses, Travel, Groceries, Transportation, Entertainment, Dining",2022-12-18,Japan
Checking,39.22,Starbucks,Travel,2022-08-02,Australia
Joint Account,705.28,Gojek,"Dining, General Expenses, Groceries, Entertainment, Travel, Transportation",2022-11-01,Singapore
Savings,426.66,Uber,"Groceries, Entertainment, General Expenses, Travel",2022-10-02,Indonesia
Checking,168.93,Walmart,"Groceries, Travel, Transportation, Dining, Entertainment",2022-11-23,Indonesia
Joint Account,149.75,Walmart,"General Expenses, Groceries, Travel",2022-07-03,Indonesia
Joint Account,331.99,ACME,"Groceries, Entertainment, Transportation",2022-07-19,Indonesia
Checking,806.08,Gojek,"Groceries, General Expenses, Entertainment, Travel, Dining",2022-08-14,Indonesia
Checking,372.73,Walmart,Transportation,2022-10-05,Australia
Savings,683.31,Fairprice,"Dining, Transportation, Groceries, General Expenses",2022-12-07,Singapore
Savings,26.84,Grab,"Entertainment, Transportation, Travel, Dining, Groceries, General Expenses",2022-10-12,Singapore
Savings,709.41,Walmart,"Dining, Entertainment, Travel, Groceries, Transportation",2022-09-30,Australia
Joint Account,122.51,Walmart,"Groceries, General Expenses, Entertainment, Transportation",2022-12-20,Japan
Savings,247.19,ACME,"General Expenses, Dining, Entertainment, Travel",2022-06-14,Indonesia
Joint Account,637.04,Uber,"General Expenses, Transportation",2022-11-17,Singapore
Checking,191.59,Google,"Transportation, Entertainment, Groceries, General Expenses",2022-07-28,Indonesia
Savings,24.93,Google,"Groceries, Entertainment",2022-11-26,Australia
Joint Account,929.71,Amazon,"Transportation, Entertainment, General Expenses",2022-08-06,Australia
Checking,52.59,Uber,"Dining, Transportation, Entertainment",2022-11-30,Singapore
Joint Account,675.87,Starbucks,"Entertainment, General Expenses, Travel, Dining, Transportation, Groceries",2022-09-05,Australia
Joint Account,77.48,Grab,"Dining, Travel, Entertainment",2022-06-04,Japan
Savings,551.84,Gojek,"General Expenses, Travel, Dining, Transportation",2022-12-18,Indonesia
Checking,34.95,Google,"Entertainment, General Expenses, Transportation, Travel",2022-08-01,Indonesia
Savings,278.58,Google,"Groceries, General Expenses, Travel, Dining, Entertainment, Transportation",2022-10-27,Japan
Checking,759.28,Starbucks,"Dining, Groceries, Transportation",2022-07-17,Indonesia
Savings,67.46,Grab,"Groceries, Transportation, Dining, Travel, Entertainment",2022-06-11,Australia
Joint Account,310.85,Starbucks,Transportation,2022-11-26,Japan
Joint Account,343.35,Amazon,"Transportation, General Expenses, Groceries, Dining, Travel, Entertainment",2022-07-04,Australia
Joint Account,979.65,Walmart,"Travel, Entertainment, Transportation, Dining",2022-11-17,Indonesia
Joint Account,372.52,Grab,"General Expenses, Transportation, Dining, Entertainment, Travel",2022-08-16,Indonesia
Joint Account,390.67,ACME,"Travel, Groceries, Dining, General Expenses",2022-08-23,Australia
Joint Account,573.47,Starbucks,"Transportation, Dining, Groceries, Travel, General Expenses",2022-09-24,Japan
Checking,92.36,Uber,"General Expenses, Dining, Transportation, Entertainment, Travel",2022-08-16,Australia
Checking,262.72,Gojek,Groceries,2022-10-28,Singapore
Checking,384.23,Grab,"Travel, Entertainment, Groceries, Dining, Transportation",2022-07-26,Indonesia
Checking,839.49,Amazon,Dining,2022-06-03,Indonesia
Savings,169.79,Gojek,"General Expenses, Dining, Entertainment",2022-09-06,Australia
Savings,531.67,Uber,"Transportation, Dining, Travel",2022-08-13,Singapore
Joint Account,348.57,Fairprice,"Transportation, Groceries, Dining",2022-10-31,Japan
Savings,848.15,Google,"Travel, Transportation",2022-09-08,Australia
Checking,86.25,Amazon,"Travel, Groceries, Dining",2022-10-05,Singapore
Joint Account,655.92,Walmart,"Groceries, Transportation",2022-08-14,Australia
Savings,641.2,Fairprice,"Transportation, Dining, Groceries, General Expenses, Entertainment, Travel",2022-11-21,Japan
Checking,551.09,Uber,"Dining, Groceries, Travel, Entertainment",2022-10-16,Australia
Joint Account,301.39,Grab,"Travel, Groceries, General Expenses, Dining, Entertainment",2022-12-09,Singapore
Savings,441.87,Walmart,"Transportation, Groceries, Travel",2022-11-07,Indonesia
Joint Account,694.81,Fairprice,"Transportation, General Expenses, Groceries, Entertainment",2022-07-01,Japan
Savings,564.39,Walmart,"General Expenses, Transportation, Dining",2022-11-08,Japan
Savings,891.03,Google,"General Expenses, Groceries, Travel, Transportation",2022-10-11,Japan
Savings,792.31,Gojek,"Groceries, General Expenses, Dining, Travel",2022-11-19,Japan
Checking,846.92,ACME,"Dining, Transportation",2022-09-15,Japan
Joint Account,171.1,Uber,"Dining, Groceries, Travel, Transportation",2022-11-10,Indonesia
Joint Account,531.37,Uber,"Dining, Entertainment, Transportation, General Expenses, Travel, Groceries",2022-07-31,Singapore
Joint Account,210.54,Amazon,"Transportation, Entertainment, Dining, General Expenses, Travel, Groceries",2022-09-17,Australia
Savings,602.06,Uber,"Groceries, Entertainment, Dining, General Expenses, Travel",2022-07-30,Singapore
Checking,373.25,Starbucks,"Transportation, Travel, Groceries, Entertainment, General Expenses",2022-12-10,Indonesia
Checking,873.6,Gojek,"Dining, Entertainment, General Expenses, Groceries, Transportation, Travel",2022-07-20,Singapore
Joint Account,368.08,Fairprice,"Entertainment, Travel",2022-06-05,Singapore
Checking,511.29,Grab,Travel,2022-06-23,Australia
Savings,976.12,Uber,"General Expenses, Groceries, Dining, Transportation",2022-06-29,Singapore
Savings,404.07,Fairprice,"Transportation, General Expenses, Entertainment, Dining",2022-06-13,Australia
Joint Account,807.79,Grab,"Groceries, Travel, Entertainment, Dining, Transportation",2022-07-02,Japan
Checking,422.79,Walmart,"Transportation, Entertainment, Travel",2022-12-07,Singapore
Checking,793.77,Gojek,Travel,2022-09-20,Australia
Joint Account,476.71,Fairprice,"Entertainment, Travel, Dining, General Expenses, Transportation, Groceries",2022-08-30,Japan
Joint Account,335.26,Uber,"Entertainment, Travel",2022-07-31,Singapore
Joint Account,905.15,Amazon,"Transportation, Dining, Entertainment, Groceries, Travel, General Expenses",2022-12-17,Australia
Checking,862.51,Gojek,"Transportation, Travel",2022-10-18,Singapore
Savings,391.87,Google,"Travel, Transportation, General Expenses, Entertainment, Dining, Groceries",2022-06-13,Singapore
Joint Account,289.8,Google,"Travel, Entertainment, Dining, General Expenses, Transportation, Groceries",2022-11-06,Singapore
Savings,129.13,Uber,"Groceries, General Expenses, Travel",2022-08-18,Singapore
Savings,789.32,Walmart,"General Expenses, Dining, Transportation, Groceries",2022-08-16,Singapore
Joint Account,544.73,Uber,"Dining, Travel, Groceries, Entertainment",2022-08-25,Australia
Checking,60.81,Uber,Travel,2022-09-26,Japan
Joint Account,936.58,Google,"Dining, General Expenses, Travel",2022-11-20,Japan
Joint Account,723.96,Uber,"Groceries, Transportation, Dining, Entertainment, General Expenses",2022-10-06,Australia
Checking,753.62,Starbucks,"Transportation, Groceries, General Expenses, Travel",2022-11-22,Indonesia
Joint Account,518.33,Google,"Groceries, Dining, Travel",2022-07-20,Indonesia
Joint Account,526.02,Starbucks,"General Expenses, Travel, Transportation, Groceries",2022-11-23,Australia
Joint Account,55.53,Google,"Travel, Groceries, Dining, Transportation, General Expenses, Entertainment",2022-12-22,Indonesia
Joint Account,798.65,Amazon,"Groceries, Travel, General Expenses, Entertainment, Dining, Transportation",2022-10-05,Indonesia
Checking,381.19,Gojek,"General Expenses, Travel, Groceries, Transportation",2022-07-04,Australia
Checking,274.86,Starbucks,"General Expenses, Groceries, Entertainment, Transportation, Dining",2022-09-10,Indonesia
Joint Account,22.14,Google,"Transportation, Entertainment, Travel, Groceries, General Expenses",2022-12-31,Japan
Savings,447.64,Grab,"Entertainment, General Expenses, Dining",2022-06-06,Australia
Checking,13.04,Starbucks,Dining,2022-10-23,Australia
Savings,300.9,Grab,"Groceries, Transportation, Dining",2022-06-14,Indonesia
Checking,936.51,Gojek,"Entertainment, Travel",2022-12-10,Australia
Joint Account,887.71,Uber,Travel,2022-08-31,Singapore
Joint Account,451.83,Grab,"Transportation, Groceries, General Expenses, Travel, Entertainment, Dining",2022-06-11,Japan
Checking,145.57,Walmart,Dining,2022-10-30,Australia
Joint Account,223.53,Google,"Dining, Groceries, Travel, Entertainment, Transportation",2022-06-13,Indonesia
Savings,769.16,ACME,"General Expenses, Transportation, Entertainment, Groceries",2022-11-09,Singapore
Joint Account,836.36,Walmart,"Dining, General Expenses, Transportation",2022-11-18,Singapore
Savings,363.23,Grab,Travel,2022-07-18,Indonesia
Joint Account,355.82,Grab,"Transportation, General Expenses",2022-06-24,Indonesia
Savings,504.51,Grab,"Travel, Transportation, Dining, Entertainment",2022-07-12,Japan
Savings,429.64,ACME,General Expenses,2022-11-10,Australia
Joint Account,269.19,ACME,"Dining, Transportation, Entertainment, Travel, Groceries",2022-08-15,Singapore
Checking,901.84,Starbucks,"Transportation, Groceries, General Expenses, Dining",2022-07-23,Australia
Joint Account,150.4,Amazon,"Transportation, Travel",2022-11-28,Indonesia
Savings,803.05,Amazon,"Groceries, Travel, Transportation, General Expenses, Entertainment, Dining",2022-10-17,Australia
Checking,889.33,Starbucks,Travel,2022-06-09,Indonesia
Joint Account,779.53,Grab,Travel,2022-07-04,Singapore
Savings,797.99,Uber,"General Expenses, Groceries, Travel",2022-07-12,Australia
Joint Account,780.82,Google,Groceries,2022-06-05,Singapore
Joint Account,819.27,Gojek,"Groceries, Travel, Entertainment, Transportation, Dining, General Expenses",2022-06-27,Australia
Checking,219.27,Google,General Expenses,2022-08-03,Australia
Joint Account,266.4,Google,"Transportation, Dining, Travel, Entertainment, General Expenses",2022-06-23,Indonesia
Joint Account,949.24,Amazon,"Dining, Travel, Entertainment",2022-07-31,Australia
Checking,208.61,Starbucks,"Dining, Entertainment, Travel, Groceries",2022-12-03,Indonesia
Savings,720.08,Fairprice,"Transportation, Entertainment, General Expenses, Groceries, Dining, Travel",2022-06-06,Australia
Joint Account,388.64,Google,"Travel, Groceries, General Expenses, Transportation, Entertainment, Dining",2022-10-18,Singapore
Checking,143.7,Starbucks,Entertainment,2022-08-24,Australia
Joint Account,639.2,Google,"Groceries, Entertainment, Dining, General Expenses, Travel, Transportation",2022-10-20,Australia
Joint Account,595.82,Google,"Dining, Entertainment",2022-10-30,Singapore
Savings,579.52,Fairprice,"Dining, Transportation, Travel, General Expenses, Groceries",2022-08-09,Australia
Checking,148.1,Amazon,"Travel, Transportation, General Expenses, Entertainment, Groceries, Dining",2022-10-02,Singapore
Savings,20.86,ACME,"Travel, Dining, Transportation, Groceries, Entertainment, General Expenses",2022-08-13,Singapore
Checking,920.36,Amazon,"Dining, General Expenses, Travel, Groceries, Transportation, Entertainment",2022-09-20,Indonesia
Checking,368.87,Walmart,"Entertainment, Travel, Dining, General Expenses",2022-06-11,Australia
Checking,564.14,Starbucks,"Transportation, Entertainment, General Expenses",2022-12-09,Indonesia
Savings,365.17,ACME,"Travel, General Expenses, Groceries, Entertainment, Transportation",2022-12-17,Australia
Savings,807.64,Amazon,"Groceries, Travel, Dining, Transportation",2022-07-21,Japan
Checking,995.83,Grab,"Travel, Entertainment, Groceries, Dining, Transportation",2022-06-26,Singapore
Checking,51.77,Grab,"Dining, General Expenses, Transportation, Travel, Entertainment",2022-12-02,Australia
Joint Account,332.25,Walmart,Entertainment,2022-08-19,Australia
Savings,876.14,Grab,"General Expenses, Groceries, Transportation",2022-06-08,Japan
Savings,457.02,Starbucks,"Transportation, Entertainment",2022-06-12,Australia
Savings,369.68,Grab,"Groceries, Travel, Dining, General Expenses, Entertainment, Transportation",2022-08-11,Japan
Savings,814.65,Gojek,"Travel, Transportation, Groceries, General Expenses, Entertainment",2022-11-30,Singapore
Checking,407.25,Amazon,"Transportation, Entertainment, Groceries, Dining, General Expenses",2022-09-03,Japan
Checking,92.06,Google,"Travel, Transportation, Entertainment, Dining, General Expenses",2022-11-28,Japan
Checking,43.58,Starbucks,"General Expenses, Dining, Groceries, Transportation, Travel",2022-08-20,Singapore
Checking,458.27,Gojek,"Entertainment, Groceries, Travel, General Expenses",2022-11-01,Australia
Joint Account,778.25,Fairprice,"Groceries, Entertainment, Transportation, General Expenses, Dining, Travel",2022-12-10,Indonesia
Savings,621.68,Starbucks,Groceries,2022-06-26,Singapore
Savings,505.52,ACME,Groceries,2022-07-16,Indonesia
Checking,928.73,Starbucks,General Expenses,2022-08-01,Singapore
Checking,450.39,Walmart,"Groceries, Entertainment, General Expenses, Travel, Dining, Transportation",2022-08-23,Australia
Savings,945.32,Amazon,"Entertainment, General Expenses, Groceries, Dining, Transportation",2022-09-04,Australia
Savings,431.04,ACME,Travel,2022-11-27,Indonesia
Joint Account,742.95,Amazon,"General Expenses, Entertainment, Travel, Dining, Transportation",2022-07-19,Singapore
Savings,621.89,Amazon,"Transportation, Travel, Entertainment, General Expenses, Dining",2022-08-23,Japan
Checking,61.28,ACME,"Entertainment, Travel, General Expenses, Groceries, Transportation",2022-09-04,Japan
Savings,588.25,Fairprice,"Groceries, Dining",2022-10-09,Japan
Checking,56.63,ACME,"Dining, General Expenses, Transportation",2022-07-19,Singapore
Checking,254.75,Grab,"Entertainment, General Expenses, Transportation, Travel, Groceries, Dining",2022-12-28,Singapore
Checking,483.73,Uber,General Expenses,2022-10-03,Singapore
Savings,212.58,Gojek,"General Expenses, Travel",2022-09-21,Singapore
Savings,12.12,Google,"Groceries, Entertainment, General Expenses",2022-07-26,Singapore
Savings,991.1,ACME,"Dining, Transportation, General Expenses, Travel, Groceries",2022-09-18,Indonesia
Savings,113.75,Gojek,"Transportation, Entertainment",2022-10-19,Japan
Joint Account,123.97,Starbucks,"Dining, Groceries, Travel, Transportation",2022-11-25,Australia
Joint Account,363.82,ACME,"Entertainment, Groceries, General Expenses, Dining, Travel, Transportation",2022-08-05,Indonesia
Checking,87.23,Walmart,"Entertainment, Transportation, Dining",2022-08-07,Australia
Checking,16.88,Fairprice,"Groceries, Dining, Transportation, General Expenses, Entertainment",2022-09-20,Japan
Savings,813.04,Walmart,"Groceries, Transportation",2022-09-09,Indonesia
Checking,952.1,Google,"Groceries, Entertainment, General Expenses",2022-09-14,Japan
Joint Account,949.62,Grab,"Dining, Travel, General Expenses",2022-12-22,Singapore
Checking,123.17,ACME,"Entertainment, Dining, General Expenses, Travel, Transportation",2022-08-04,Australia
Joint Account,227.45,Grab,"Entertainment, Transportation, General Expenses",2022-06-10,Indonesia
Joint Account,692.32,Grab,"Groceries, Dining, Transportation, Entertainment, Travel",2022-09-01,Australia
Savings,959.61,Amazon,"General Expenses, Dining, Transportation, Travel, Groceries",2022-11-03,Singapore
Joint Account,151.87,Gojek,General Expenses,2022-07-10,Indonesia
Checking,2.02,Fairprice,Transportation,2022-06-11,Australia
Savings,101.85,Walmart,Travel,2022-10-01,Indonesia
Savings,970.6,Grab,"General Expenses, Travel, Entertainment",2022-12-19,Indonesia
Joint Account,628.95,Amazon,"Transportation, Dining, Entertainment, General Expenses, Travel",2022-06-19,Australia
Checking,82.33,Walmart,"Transportation, Dining, General Expenses, Entertainment, Groceries, Travel",2022-07-02,Singapore
Checking,909.45,Google,"Groceries, Entertainment, Transportation, Travel, General Expenses, Dining",2022-11-21,Indonesia
Checking,897.23,ACME,Dining,2022-08-12,Singapore
Savings,970.9,Fairprice,"Transportation, Dining",2022-06-22,Indonesia
Checking,801.52,Walmart,"General Expenses, Groceries",2022-08-22,Singapore
Checking,919.06,Fairprice,"Entertainment, Transportation, General Expenses, Travel",2022-10-21,Indonesia
Checking,689.77,Starbucks,"Transportation, Dining, Groceries, General Expenses, Travel",2022-12-26,Singapore
Checking,163.51,Fairprice,"Dining, Entertainment, Groceries, Travel",2022-11-25,Singapore
Checking,809.71,Walmart,"General Expenses, Travel",2022-06-11,Indonesia
Savings,174.55,Starbucks,"Travel, Groceries, Transportation, Entertainment",2022-12-20,Australia
Savings,602.54,Grab,"Transportation, Dining",2022-12-26,Singapore
Checking,596.49,Grab,"Dining, Entertainment, Travel, Transportation, General Expenses",2022-10-07,Singapore
Checking,174.25,Starbucks,"General Expenses, Entertainment",2022-09-15,Indonesia
Checking,751.24,Uber,"Entertainment, Groceries, Travel, Dining",2022-07-25,Japan
Savings,526.34,Starbucks,"Entertainment, Transportation",2022-12-17,Indonesia
Checking,357.96,Google,"Groceries, Travel, Dining, Entertainment, Transportation",2022-06-14,Singapore
Joint Account,832.62,Starbucks,"Entertainment, Groceries, General Expenses, Transportation, Travel",2022-06-16,Singapore
Savings,722.38,Google,"Groceries, Travel, General Expenses, Transportation",2022-08-03,Japan
Checking,667.74,Fairprice,"Groceries, Travel, Entertainment, General Expenses, Transportation",2022-09-05,Japan
Savings,936.37,Starbucks,General Expenses,2022-09-20,Singapore
Checking,694.83,ACME,"General Expenses, Transportation, Dining",2022-07-09,Australia
Joint Account,718.35,Walmart,"Transportation, Entertainment, Travel",2022-12-05,Indonesia
Checking,908.65,Google,"Groceries, General Expenses",2022-10-20,Australia
Checking,996.79,Grab,"Groceries, Travel, Transportation",2022-08-17,Singapore
Savings,960.9,Walmart,"Travel, Groceries, Transportation",2022-10-07,Japan
Checking,637.14,Walmart,"General Expenses, Travel, Transportation, Groceries, Entertainment",2022-08-09,Singapore
Savings,827.54,Google,"General Expenses, Dining, Transportation",2022-08-13,Indonesia
Joint Account,495.7,Fairprice,"General Expenses, Travel, Groceries, Dining, Entertainment",2022-08-16,Indonesia
Joint Account,312.42,Starbucks,"Entertainment, General Expenses, Dining, Travel",2022-12-18,Australia
Savings,167.58,Google,"Groceries, Entertainment, Travel, General Expenses, Transportation, Dining",2022-12-05,Indonesia
Joint Account,502.51,Amazon,"Dining, General Expenses, Transportation, Travel, Entertainment, Groceries",2022-08-22,Australia
Savings,904.49,Fairprice,"Dining, General Expenses, Travel, Entertainment, Groceries, Transportation",2022-09-10,Japan
Checking,405.31,Amazon,"Dining, Travel",2022-07-12,Australia
Checking,155.95,Uber,"Dining, General Expenses, Travel, Groceries",2022-09-03,Indonesia
Joint Account,737.96,ACME,"Dining, Travel, Transportation",2022-06-10,Indonesia
Checking,391.77,Walmart,"Groceries, Transportation, Dining",2022-11-19,Singapore
Savings,835.25,ACME,"General Expenses, Entertainment",2022-07-08,Singapore
Savings,416.42,Google,"Dining, Travel, Groceries",2022-12-27,Singapore
Joint Account,629.71,Grab,"Groceries, Entertainment, Transportation, Dining, Travel",2022-11-15,Singapore
Savings,405.99,Starbucks,"Travel, General Expenses, Groceries, Entertainment",2022-09-26,Japan
Joint Account,771.94,Gojek,"Dining, General Expenses, Entertainment, Travel, Groceries, Transportation",2022-06-13,Indonesia
Savings,151.63,Google,"Travel, General Expenses, Groceries, Transportation, Entertainment, Dining",2022-07-10,Japan
Joint Account,333.84,ACME,"General Expenses, Travel",2022-12-25,Australia
Savings,803.61,Starbucks,"Transportation, Groceries",2022-10-04,Japan
Joint Account,427.71,Amazon,"General Expenses, Groceries, Travel, Dining, Entertainment",2022-09-22,Indonesia
Savings,31.68,Starbucks,"Dining, Transportation, Travel, Entertainment",2022-07-24,Indonesia
Checking,71.6,ACME,General Expenses,2022-10-27,Australia
Checking,592.98,Amazon,"Dining, General Expenses, Transportation, Travel",2022-08-11,Indonesia
Checking,804.15,ACME,"General Expenses, Entertainment, Dining, Travel",2022-12-11,Indonesia
Savings,148.22,Gojek,"Transportation, General Expenses, Dining, Entertainment",2022-10-16,Australia
Savings,439.49,Gojek,"Dining, Travel, General Expenses, Entertainment",2022-07-17,Indonesia
Joint Account,273.17,Uber,"Groceries, Travel, General Expenses, Dining, Transportation",2022-08-09,Indonesia
Joint Account,209.32,Amazon,"General Expenses, Transportation, Entertainment, Travel, Dining",2022-12-30,Singapore
Joint Account,321.31,Amazon,Travel,2022-12-28,Australia
Checking,652.52,Google,"General Expenses, Transportation, Dining, Entertainment, Travel",2022-12-16,Japan
Savings,307.53,Amazon,"Dining, Groceries, Entertainment, Transportation, General Expenses",2022-07-27,Japan
Checking,905.39,Grab,"General Expenses, Groceries, Entertainment, Travel",2022-08-19,Indonesia
Savings,547.05,Starbucks,"General Expenses, Transportation, Dining",2022-12-17,Singapore
Savings,172.61,Starbucks,"Dining, Groceries, Transportation",2022-12-03,Japan
Checking,821.19,Amazon,Transportation,2022-11-26,Singapore
Checking,748.76,Grab,"Groceries, Transportation, Dining",2022-08-25,Singapore
Checking,646.69,Fairprice,"Groceries, General Expenses, Transportation, Travel",2022-07-28,Japan
Checking,481.96,Uber,"Travel, Dining",2022-11-05,Australia
Joint Account,317.45,Uber,"Transportation, Dining, Groceries, Entertainment",2022-10-15,Japan
Savings,287.73,Starbucks,"Transportation, Groceries, Entertainment, Travel, Dining, General Expenses",2022-12-27,Australia
Checking,799.55,Fairprice,"Transportation, General Expenses, Groceries",2022-11-02,Australia
Checking,281.28,Amazon,General Expenses,2022-11-07,Australia
Checking,600.14,Uber,"Dining, Groceries, Entertainment, Transportation, Travel",2022-09-01,Japan
Joint Account,185.88,Grab,"Transportation, General Expenses",2022-10-24,Australia
Checking,603.27,Fairprice,"Travel, Groceries",2022-07-27,Indonesia
Checking,225.14,Uber,"Entertainment, Groceries, Dining, Transportation, General Expenses, Travel",2022-07-23,Australia
Checking,682.66,Gojek,General Expenses,2022-11-01,Australia
Joint Account,129.45,Google,"Groceries, Transportation, Travel, Entertainment, General Expenses, Dining",2022-12-30,Singapore
Checking,517.14,Fairprice,"Groceries, Entertainment",2022-09-04,Australia
Savings,644.55,ACME,"Travel, General Expenses, Transportation",2022-06-10,Japan
Checking,450.9,Grab,"Dining, Groceries, Entertainment, General Expenses",2022-12-26,Australia
Checking,875.33,Walmart,"Groceries, Travel, Transportation, Entertainment",2022-12-24,Australia
Joint Account,240.69,Fairprice,"Groceries, Entertainment, Travel, Dining, Transportation, General Expenses",2022-12-27,Singapore
Savings,549.73,Gojek,"General Expenses, Transportation, Travel, Groceries",2022-07-11,Singapore
Savings,843.14,Walmart,"Transportation, Dining, General Expenses, Travel, Groceries",2022-07-25,Australia
Savings,321.59,Grab,"Dining, Transportation, Groceries, Travel",2022-08-23,Japan
Joint Account,709.86,Starbucks,"General Expenses, Travel, Entertainment, Transportation, Dining, Groceries",2022-07-03,Indonesia
Checking,473.61,Uber,"Transportation, Groceries, Dining, Entertainment, General Expenses",2022-09-28,Australia
Checking,334.85,Walmart,Entertainment,2022-08-06,Singapore
Joint Account,162.55,ACME,"Travel, Entertainment",2022-06-27,Japan
Joint Account,446.43,Walmart,Entertainment,2022-07-23,Singapore
Checking,591.2,Gojek,"Transportation, Travel, General Expenses, Groceries, Entertainment, Dining",2022-12-14,Australia
Checking,526.02,Fairprice,"Travel, Groceries, General Expenses, Entertainment, Transportation",2022-09-18,Indonesia
Savings,229.48,Walmart,"Entertainment, Groceries",2022-09-14,Indonesia
Savings,38.82,Uber,"Entertainment, Transportation, Travel",2022-06-26,Indonesia
